YEAR,SEAS,TAVG2_C
1908,AU,-1.8579545454545454
1908,SP,-2.3505747126436782
1908,SU,11.427777777777777
1908,WI,-12.325287356321839
1909,AU,-0.15609756097560976
1909,SP,-5.484444444444445
1909,SU,11.81195652173913
1909,WI,-11.580246913580247
1910,AU,-1.7457142857142858
1910,SP,-0.12647058823529408
1910,SU,10.130434782608695
1910,WI,-9.467213114754099
1911,AU,-1.280246913580247
1911,SP,-2.1202247191011234
1911,SU,11.291208791208792
1911,WI,-11.716455696202532
1912,AU,-2.0726190476190474
1912,SP,-4.035869565217391
1912,SU,11.09010989010989
1912,WI,-18.743529411764705
1913,AU,-1.4235955056179777
1913,SP,-3.5
1913,SU,11.353846153846154
1913,WI,-14.859090909090908
1914,AU,-0.9340659340659341
1914,SP,-3.029347826086956
1914,SU,11.827173913043477
1914,WI,-13.702247191011235
1915,AU,-3.841758241758242
1915,SP,-5.35
1915,SU,11.114444444444445
1915,WI,-18.334831460674156
1916,AU,-1.6164835164835165
1916,SP,-5.211956521739131
1916,SU,11.44891304347826
1916,WI,-11.853846153846154
1917,AU,-0.1804597701149426
1917,SP,-7.232954545454546
1917,SU,12.785714285714286
1917,WI,-16.939285714285717
1918,AU,1.3241758241758241
1918,SP,-0.4411764705882352
1918,SU,10.857608695652173
1918,WI,-15.595505617977528
1919,AU,-2.9725274725274726
1919,SP,-3.8336956521739127
1919,SU,12.954347826086956
1919,WI,-15.437777777777779
1920,AU,0.6758241758241759
1920,SP,1.7043478260869567
1920,SU,12.411956521739132
1920,WI,-11.978021978021978
1921,AU,-3.283516483516484
1921,SP,0.6695652173913044
1921,SU,11.855434782608697
1921,WI,-15.166666666666666
1922,AU,-1.0527472527472528
1922,SP,-2.490217391304348
1922,SU,12.833695652173914
1922,WI,-15.897777777777778
1923,AU,-0.4483516483516483
1923,SP,-3.1282608695652177
1923,SU,9.927173913043477
1923,WI,-11.742222222222221
1924,AU,0.5599999999999999
1924,SP,-3.997826086956522
1924,SU,12.027173913043478
1924,WI,-12.663736263736265
1925,AU,-3.6362637362637367
1925,SP,-3.63695652173913
1925,SU,12.81413043478261
1925,WI,-10.9
1926,AU,-1.521978021978022
1926,SP,-3.0582417582417585
1926,SU,11.580434782608696
1926,WI,-15.754545454545456
1927,AU,-4.571111111111111
1927,SP,-3.526086956521739
1927,SU,13.22391304347826
1927,WI,-13.435555555555556
1928,AU,-3.1538461538461537
1928,SP,-1.6391304347826088
1928,SU,10.781521739130435
1928,WI,-11.893406593406594
1929,AU,1.3186813186813187
1929,SP,-4.051086956521739
1929,SU,10.445652173913043
1929,WI,-11.774444444444445
1930,AU,-0.765934065934066
1930,SP,-2.109782608695652
1930,SU,13.142391304347825
1930,WI,-11.460674157303371
1931,AU,-0.12637362637362637
1931,SP,-2.5195652173913046
1931,SU,11.392391304347825
1931,WI,-11.224444444444446
1932,AU,-0.6344444444444446
1932,SP,-2.6804347826086956
1932,SU,12.085869565217392
1932,WI,-8.581318681318681
1933,AU,-1.276923076923077
1933,SP,-4.503260869565217
1933,SU,12.918478260869565
1933,WI,-13.110000000000001
1934,AU,1.3956043956043955
1934,SP,-1.7054347826086957
1934,SU,12.804347826086957
1934,WI,-9.617777777777778
1935,AU,1.121978021978022
1935,SP,-3.407608695652174
1935,SU,11.505434782608695
1935,WI,-11.607777777777779
1936,AU,-0.18901098901098903
1936,SP,-2.5402173913043478
1936,SU,13.997826086956522
1936,WI,-13.725274725274724
1937,AU,0.9505494505494505
1937,SP,-0.4173913043478262
1937,SU,14.951086956521738
1937,WI,-12.805555555555555
1938,AU,3.2406593406593402
1938,SP,-0.6597826086956522
1938,SU,14.085869565217392
1938,WI,-7.542222222222222
1939,AU,-0.23516483516483522
1939,SP,-3.4826086956521736
1939,SU,12.392391304347825
1939,WI,-12.452222222222222
1940,AU,-0.4208791208791208
1940,SP,-3.9597826086956522
1940,SU,12.067391304347826
1940,WI,-16.72747252747253
1941,AU,-2.6274725274725275
1941,SP,-5.506521739130434
1941,SU,12.494565217391305
1941,WI,-18.515555555555558
1942,AU,-0.8065934065934066
1942,SP,-5.114130434782608
1942,SU,11.894565217391303
1942,WI,-16.54111111111111
1943,AU,0.8615384615384616
1943,SP,-0.6206521739130435
1943,SU,13.115217391304347
1943,WI,-10.655555555555555
1944,AU,-0.984375
1944,SP,-3.585869565217391
1944,SU,11.302173913043477
1944,WI,-9.042857142857143
1945,AU,-2.9384615384615382
1945,SP,-2.981521739130435
1945,SU,12.82391304347826
1945,WI,-13.746666666666668
1946,AU,-1.0571428571428572
1946,SP,-3.2695652173913046
1946,SU,12.827173913043477
1946,WI,-10.37111111111111
1947,AU,-0.24505494505494493
1947,SP,-4.434782608695652
1947,SU,13.76086956521739
1947,WI,-14.945555555555554
1948,AU,0.265934065934066
1948,SP,-0.16195652173913036
1948,SU,11.565217391304348
1948,WI,-11.930769230769231
1949,AU,1.910989010989011
1949,SP,-1.4271739130434782
1949,SU,10.804347826086957
1949,WI,-8.921111111111111
1950,AU,1.321978021978022
1950,SP,-0.9336956521739129
1950,SU,12.519565217391303
1950,WI,-14.363333333333333
1951,AU,-0.23296703296703292
1951,SP,-2.7880434782608696
1951,SU,11.830434782608696
1951,WI,-13.905555555555555
1952,AU,-1.7428571428571429
1952,SP,-2.9153846153846157
1952,SU,11.717391304347826
1952,WI,-10.263736263736265
1953,AU,0.7824175824175824
1953,SP,-0.4206521739130434
1953,SU,14.110869565217392
1953,WI,-10.998888888888889
1954,AU,-0.9593406593406595
1954,SP,-0.5076086956521739
1954,SU,12.84891304347826
1954,WI,-10.215555555555556
1955,AU,-2.303296703296703
1955,SP,-4.9554347826086955
1955,SU,11.975
1955,WI,-18.13111111111111
1956,AU,-3.857142857142857
1956,SP,-2.8467391304347824
1956,SU,11.622826086956522
1956,WI,-14.917582417582418
1957,AU,0.07692307692307693
1957,SP,-2.6608695652173915
1957,SU,12.743478260869566
1957,WI,-11.133333333333333
1958,AU,1.6406593406593408
1958,SP,-3.582608695652174
1958,SU,12.127173913043478
1958,WI,-15.221111111111112
1959,AU,-0.7472527472527473
1959,SP,-0.023913043478260832
1959,SU,13.322826086956523
1959,WI,-11.091111111111111
1960,AU,-2.5714285714285716
1960,SP,0.9586956521739131
1960,SU,14.55108695652174
1960,WI,-14.572527472527472
1961,AU,3.245054945054945
1961,SP,-1.9434782608695653
1961,SU,13.924999999999999
1961,WI,-11.226666666666667
1962,AU,1.2483516483516484
1962,SP,-3.946739130434783
1962,SU,10.193478260869565
1962,WI,-14.253333333333332
1963,AU,1.1934065934065934
1963,SP,-1.3847826086956523
1963,SU,11.697826086956523
1963,WI,-14.857777777777779
1964,AU,0.4483516483516483
1964,SP,-2.259782608695652
1964,SU,11.684782608695652
1964,WI,-11.631868131868131
1965,AU,-0.953846153846154
1965,SP,-4.217391304347826
1965,SU,10.820652173913043
1965,WI,-13.23111111111111
1966,AU,-1.0087912087912088
1966,SP,-5.591304347826087
1966,SU,12.285869565217391
1966,WI,-18.554444444444446
1967,AU,2.340659340659341
1967,SP,-0.33260869565217394
1967,SU,12.542391304347827
1967,WI,-17.225555555555555
1968,AU,-3.816666666666667
1968,SP,-3.7978260869565217
1968,SU,10.86195652173913
1968,WI,-14.437362637362638
1969,AU,-0.07802197802197804
1969,SP,-4.802173913043478
1969,SU,12.131521739130434
1969,WI,-14.503333333333332
1970,AU,-1.0494505494505495
1970,SP,-2.778260869565217
1970,SU,13.679347826086957
1970,WI,-16.07333333333333
1971,AU,-3.456043956043956
1971,SP,-5.627173913043479
1971,SU,11.607608695652175
1971,WI,-12.83
1972,AU,-1.268131868131868
1972,SP,-2.0445652173913045
1972,SU,14.256521739130434
1972,WI,-9.182417582417584
1973,AU,-4.15054945054945
1973,SP,-1.0717391304347827
1973,SU,14.034782608695652
1973,WI,-12.867777777777777
1974,AU,1.045054945054945
1974,SP,-0.8239130434782609
1974,SU,13.639130434782608
1974,WI,-7.404444444444445
1975,AU,0.7351648351648351
1975,SP,0.6510869565217391
1975,SU,10.796739130434782
1975,WI,-11.647777777777778
1976,AU,-2.9450549450549453
1976,SP,-1.7630434782608695
1976,SU,11.65108695652174
1976,WI,-14.31868131868132
1977,AU,-1.1230769230769229
1977,SP,-2.883695652173913
1977,SU,11.329347826086956
1977,WI,-13.446666666666667
1978,AU,-1.4186813186813185
1978,SP,-2.0358695652173915
1978,SU,11.491304347826087
1978,WI,-17.415555555555557
1979,AU,-0.7692307692307693
1979,SP,-1.575
1979,SU,13.271739130434783
1979,WI,-14.475555555555555
1980,AU,-2.779120879120879
1980,SP,-2.181521739130435
1980,SU,13.255434782608695
1980,WI,-16.58681318681319
1981,AU,-0.049450549450549434
1981,SP,-4.192391304347826
1981,SU,11.096739130434782
1981,WI,-16.57777777777778
1982,AU,0.45494505494505494
1982,SP,-0.7847826086956522
1982,SU,10.958695652173914
1982,WI,-12.846666666666668
1983,AU,-2.353846153846154
1983,SP,-0.07608695652173916
1983,SU,11.931521739130435
1983,WI,-12.985555555555557
1984,AU,-1.2934065934065935
1984,SP,-0.6141304347826086
1984,SU,11.576086956521738
1984,WI,-9.817582417582416
1985,AU,-0.36813186813186816
1985,SP,-2.7184782608695652
1985,SU,12.791304347826086
1985,WI,-23.520000000000003
1986,AU,0.5758241758241758
1986,SP,-0.333695652173913
1986,SU,12.48804347826087
1986,WI,-17.75111111111111
1987,AU,0.9626373626373625
1987,SP,-2.635869565217391
1987,SU,10.706521739130435
1987,WI,-18.45777777777778
1988,AU,-1.335164835164835
1988,SP,-1.951086956521739
1988,SU,13.660869565217391
1988,WI,-14.04835164835165
1989,AU,0.3637362637362638
1989,SP,2.0847826086956522
1989,SU,12.941304347826087
1989,WI,-10.31
1990,AU,-1.7395604395604396
1990,SP,-0.21739130434782608
1990,SU,12.15
1990,WI,-8.85
1991,AU,0.3549450549450549
1991,SP,-2.384782608695652
1991,SU,12.415217391304349
1991,WI,-12.367777777777777
1992,AU,-3.453846153846154
1992,SP,-0.13804347826086955
1992,SU,11.479347826086956
1992,WI,-6.5747252747252745
1993,AU,-2.3208791208791206
1993,SP,-1.3239130434782609
1993,SU,11.273913043478261
1993,WI,-9.942222222222222
1994,AU,-0.8538461538461537
1994,SP,-0.7315217391304347
1994,SU,12.742391304347825
1994,WI,-12.042222222222222
1995,AU,-2.121978021978022
1995,SP,-0.6271739130434782
1995,SU,12.38695652173913
1995,WI,-11.571111111111112
1996,AU,0.8846153846153846
1996,SP,-2.333695652173913
1996,SU,12.795652173913044
1996,WI,-11.965934065934066
1997,AU,-0.6670329670329671
1997,SP,-2.8978260869565218
1997,SU,14.13586956521739
1997,WI,-11.76222222222222
1998,AU,-1.1967032967032967
1998,SP,-3.692391304347826
1998,SU,12.110869565217392
1998,WI,-14.76888888888889
1999,AU,2.3626373626373627
1999,SP,-1.3543478260869564
1999,SU,12.929347826086957
1999,WI,-15.88111111111111
2000,AU,3.0384615384615383
2000,SP,-0.01521739130434783
2000,SU,12.898913043478261
2000,WI,-10.965934065934066
2001,AU,0.28461538461538466
2001,SP,-3.4250000000000003
2001,SU,13.546739130434782
2001,WI,-12.03111111111111
2002,AU,-2.918681318681319
2002,SP,0.893478260869565
2002,SU,14.78913043478261
2002,WI,-13.532222222222224
2003,AU,1.023076923076923
2003,SP,0.9880434782608696
2003,SU,14.133695652173913
2003,WI,-13.585393258426965
2004,AU,-0.10109890109890113
2004,SP,0.15869565217391307
2004,SU,13.36043956043956
2004,WI,-10.472527472527473
2005,AU,3.04
2005,SP,-1.375
2005,SU,14.838043478260868
2005,WI,-9.332584269662922
2006,AU,-0.29890109890109895
2006,SP,-1.1271739130434784
2006,SU,14.225
2006,WI,-10.092222222222222
2007,AU,1.2846153846153847
2007,SP,0.9597826086956521
2007,SU,13.064835164835166
2007,WI,-11.818888888888889
2008,AU,-0.09651162790697673
2008,SP,-1.8543478260869564
2008,SU,11.444565217391306
2008,WI,-7.489010989010989
2009,AU,1.201098901098901
2009,SP,-0.22826086956521735
2009,SU,12.90108695652174
2009,WI,-11.894444444444444
2010,AU,-0.820879120879121
2010,SP,-0.3706521739130434
2010,SU,12.718478260869563
2010,WI,-15.716666666666667
2011,AU,3.191208791208791
2011,SP,1.0021739130434784
2011,SU,14.465217391304348
2011,WI,-11.764444444444443
2012,AU,0.8824175824175824
2012,SP,-0.5163043478260869
2012,SU,12.23913043478261
2012,WI,-14.228571428571428
2013,AU,1.1131868131868132
2013,SP,-1.5630434782608693
2013,SU,14.27282608695652
2013,WI,-9.69111111111111
2014,AU,0.2516483516483517
2014,SP,0.41413043478260864
2014,SU,14.267391304347825
2014,WI,-9.27888888888889
2015,AU,2.534065934065934
2015,SP,1.8464788732394366
2015,SU,11.94891304347826
2015,WI,-9.898888888888889
2016,AU,1.353846153846154
2016,SP,2.0293478260869566
2016,SU,13.655434782608696
2016,WI,-11.193406593406594
2017,AU,0.6967032967032968
2017,SP,-1.8184782608695653
2017,SU,12.421739130434782
2017,WI,-10.113333333333333
2018,AU,2.3650602409638557
2018,SP,0.004347826086956468
2018,SU,14.930434782608694
2018,WI,-11.557777777777778
2019,AU,-1.254945054945055
2019,SP,-0.06956521739130435
2019,SU,12.701086956521738
2019,WI,-11.395555555555555
2020,AU,7.716216216216216
2020,SP,-0.8271739130434782
2020,SU,14.437362637362638
2020,WI,-9.195
